2019-09-06T05:51:16.792790370Z Data directory not empty, will not provision.
2019-09-06T05:51:16.795284840Z ------------------------ written by daito at /sw360chores/docker-images/sw360couchdb/docker-entrypoint.sh  -----------------
2019-09-06T05:51:16.800942771Z sed -e s/file = \/dev\/null/file = \/usr\/local\/var\/log\/couchdb\/couch.log/g  \/usr\/local\/etc\/couchdb\/default.ini
2019-09-06T05:51:16.826636202Z ****************************************************
2019-09-06T05:51:16.826690021Z WARNING: CouchDB is running in Admin Party mode.
2019-09-06T05:51:16.826706421Z          This will allow anyone with access to the
2019-09-06T05:51:16.826721625Z          CouchDB port to access your database. In
2019-09-06T05:51:16.826737646Z          Docker's default configuration, this is
2019-09-06T05:51:16.826752184Z          effectively any other container on the same
2019-09-06T05:51:16.826766129Z          system.
2019-09-06T05:51:16.826776084Z          Use "-e COUCHDB_USER=admin -e COUCHDB_PASSWORD=password"
2019-09-06T05:51:16.826785186Z          to set it in "docker run".
2019-09-06T05:51:16.826794194Z ****************************************************
2019-09-06T05:51:18.452564911Z Apache CouchDB 1.7.1 (LogLevel=info) is starting.
2019-09-06T05:51:23.181589933Z Apache CouchDB has started. Time to relax.
2019-09-06T05:51:23.508599005Z [info] [<0.32.0>] Apache CouchDB has started on http://0.0.0.0:5984/
2019-09-06T05:54:55.708378225Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:55.720108122Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:55.724923211Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:55.734414679Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:55.740730929Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:55.746249355Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:55.767625069Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.772732188Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.783827613Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.788695419Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:55.794314112Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:55.815127128Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.819634751Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.829323661Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.834474142Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Attachment 200
2019-09-06T05:54:55.839659831Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Attachment 200
2019-09-06T05:54:55.861146419Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.865159829Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.872627077Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.878068005Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Source 200
2019-09-06T05:54:55.883514091Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Source 200
2019-09-06T05:54:55.930111247Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.937184569Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:55.947874671Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.952707900Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Vendor 200
2019-09-06T05:54:55.957864774Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Vendor 200
2019-09-06T05:54:55.987127484Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:55.993080104Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Release 200
2019-09-06T05:54:55.998589113Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Release 200
2019-09-06T05:54:56.026758003Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:56.032043138Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Component 200
2019-09-06T05:54:56.037474870Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Component 200
2019-09-06T05:54:56.057565053Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:56.063468187Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/Project 200
2019-09-06T05:54:56.068500012Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/Project 200
2019-09-06T05:54:56.096088450Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:56.101946422Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360db/_design/User 200
2019-09-06T05:54:56.107167172Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360db/_design/User 200
2019-09-06T05:54:56.123877544Z [info] [<0.337.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:56.128638784Z [info] [<0.337.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:55:00.262940058Z [info] [<0.391.0>] 172.21.0.5 - - HEAD /sw360users/ 200
2019-09-06T05:55:00.299842410Z [info] [<0.391.0>] 172.21.0.5 - - GET /sw360users/_security 200
2019-09-06T05:55:00.457386443Z [info] [<0.391.0>] 172.21.0.5 - - HEAD /sw360users/ 200
2019-09-06T05:55:00.465683502Z [info] [<0.391.0>] 172.21.0.5 - - HEAD /sw360users/_design/User 200
2019-09-06T05:55:00.482144697Z [info] [<0.391.0>] 172.21.0.5 - - GET /sw360users/_design/User 200
2019-09-06T05:55:00.656071759Z [info] [<0.391.0>] 172.21.0.5 - - GET / 200
2019-09-06T05:55:00.677882025Z [info] [<0.391.0>] 172.21.0.5 - - HEAD /sw360users/_design/lucene 200
2019-09-06T05:55:00.683804543Z [info] [<0.391.0>] 172.21.0.5 - - GET /sw360users/_design/lucene 200
2019-09-06T05:55:04.900028091Z [info] [<0.413.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:55:04.933182484Z [info] [<0.413.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:55:05.094374517Z [info] [<0.413.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:55:05.099715940Z [info] [<0.413.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:55:05.115200376Z [info] [<0.413.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:55:05.123550509Z [info] [<0.413.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
